window_start,window_end,market_slug,open_price,close_price,token_ids
2026-06-23T15:10:00+00:00,2026-06-23T15:15:00+00:00,btc-updown-5m-1782227400,62355.19,,"[""110351645843961806641873781490988975986574303974378732527764080112013593909682"", ""1487245226190618051934018384235731836435425058810175970940303645121857429744""]"
2026-06-23T15:15:00+00:00,2026-06-23T15:20:00+00:00,btc-updown-5m-1782227700,62378.0,,"[""62909198586258179463712000359873109912346960032920122949822511885043147054281"", ""31538099446666624771035025250904425299542029077118068637301891947496404045395""]"
2026-06-23T15:20:00+00:00,2026-06-23T15:25:00+00:00,btc-updown-5m-1782228000,62245.0,,"[""114376514523581003718124420520599361674788455127745757100219339615257783430532"", ""89993019420047532412876927052452419577919963265741210347864523217940456513822""]"
2026-06-23T15:25:00+00:00,2026-06-23T15:30:00+00:00,btc-updown-5m-1782228300,62252.0,,"[""12097193538805551845425740693486573889034985775054233461160604079068525393184"", ""88220107070797042261238458659968607256654456474803108011058084712481930269495""]"
2026-06-23T15:30:00+00:00,2026-06-23T15:35:00+00:00,btc-updown-5m-1782228600,62289.99,,"[""21313897573509856718649987688610553933932498374984382151328615014130911213480"", ""97362677281452960740138633776469288630248570526124243167924056837190405226379""]"
2026-06-23T15:35:00+00:00,2026-06-23T15:40:00+00:00,btc-updown-5m-1782228900,62439.41,,"[""91487972409434452776132916260737554230854720946589775915929252605618234413769"", ""16919156541518806185586601632027461743400567480766085287634365418605857491730""]"
2026-06-23T15:40:00+00:00,2026-06-23T15:45:00+00:00,btc-updown-5m-1782229200,62352.0,,"[""100097212498039134515657532171847386363033004288738726199150257847635559071200"", ""17697581973967366914752437661820685488544648572327524180873787853830553388047""]"
2026-06-23T15:45:00+00:00,2026-06-23T15:50:00+00:00,btc-updown-5m-1782229500,62300.01,,"[""81734759435399192110761035360459276661798427544917881913563988705578141332947"", ""105891513612497757538397805559240874179222062847427328988489027372644407379481""]"
2026-06-23T15:50:00+00:00,2026-06-23T15:55:00+00:00,btc-updown-5m-1782229800,62236.0,,"[""28162375418898957884141648532959419836589582421230812098120198813691967551889"", ""57767302774856938091760936213598627865637670403190896887762511926652746150071""]"
2026-06-23T15:55:00+00:00,2026-06-23T16:00:00+00:00,btc-updown-5m-1782230100,62342.0,,"[""74151737175152654614274537306458430174271860250726995221216946612818944649891"", ""66928431011005429750641989887416667220890025316962414280607420773367863182781""]"
2026-06-23T16:00:00+00:00,2026-06-23T16:05:00+00:00,btc-updown-5m-1782230400,62487.79,,"[""53522451080653363528520217920837242480877268750199718338022768011036448132850"", ""114188733420244139607270904349863699453346798771813084597440789828288038036336""]"
2026-06-23T16:05:00+00:00,2026-06-23T16:10:00+00:00,btc-updown-5m-1782230700,62474.15,,"[""73040671407278546225616088590608247419958248455980594665472979342057618398924"", ""37764965985327288335532489892820304082734769940001780564507926820825491977424""]"
2026-06-23T16:10:00+00:00,2026-06-23T16:15:00+00:00,btc-updown-5m-1782231000,62720.01,,"[""73326177982095570392439786526791507870203323292067828469028520218245950833058"", ""52301659973629827977650112180361930548224144688787841507175312205581298729625""]"
